
, node 16
size   ,forEach,forLoop,forOf  ,reduce
10     ,0.49   ,0.57   ,1.0    ,0.32   
100    ,0.89   ,0.081  ,0.12   ,1.0    
1000   ,0.94   ,0.075  ,0.15   ,1.0    
10000  ,0.92   ,0.077  ,0.15   ,1.0    
100000 ,0.71   ,0.095  ,0.16   ,1.0    
1000000,0.23   ,0.085  ,0.14   ,1.0    

, node 18
size   ,forEach,forLoop,forOf  ,reduce
10     ,0.55   ,0.54   ,1.0    ,0.42   
100    ,1.0    ,0.069  ,0.12   ,0.95   
1000   ,1.0    ,0.077  ,0.15   ,0.91   
10000  ,1.0    ,0.078  ,0.16   ,0.94   
100000 ,0.85   ,0.098  ,0.14   ,1.0    
1000000,0.43   ,0.099  ,0.14   ,1.0    

, node 20
size   ,forEach,forLoop,forOf  ,reduce
10     ,0.71   ,0.56   ,1.0    ,0.43   
100    ,1.0    ,0.16   ,0.081  ,0.84   
1000   ,0.65   ,0.11   ,0.11   ,1.0    
10000  ,0.36   ,0.16   ,0.21   ,1.0    
100000 ,1.0    ,0.15   ,0.22   ,0.69   
1000000,1.0    ,0.22   ,0.33   ,0.24   

, deno
size   ,forEach,forLoop,forOf  ,reduce
10     ,0.0    ,1.0    ,0.0    ,0.0    
100    ,1.0    ,0.0    ,0.0    ,0.0    
1000   ,1.0    ,0.0    ,0.33   ,0.67   
10000  ,1.0    ,0.50   ,0.50   ,0.63   
100000 ,1.0    ,0.16   ,0.23   ,0.73   
1000000,1.0    ,0.22   ,0.32   ,0.22   

, bun
size   ,forEach,forLoop,forOf  ,reduce
10     ,1.0    ,0.23   ,0.46   ,0.68   
100    ,0.89   ,0.33   ,0.82   ,1.0    
1000   ,1.0    ,0.33   ,0.68   ,0.83   
10000  ,0.72   ,0.35   ,1.0    ,0.62   
100000 ,1.0    ,0.30   ,0.57   ,0.34   
1000000,1.0    ,0.36   ,0.58   ,0.35   
